

fn-[read_pidns] buf : pid:[4026531836]  result: 16 
fn-[read_pidns] host_pidns: 4026531836 
 
TIME     EVENT COMM             PID     CPUUSAGE  MEMUSAGE
15:37:34 MINER kinsing          7237    
15:37:34 CONN   kinsing          7237               185.154.53.140 4026532306
15:37:35 MINER kinsing          7237    
15:37:35 MINER kinsing          7237    
15:37:35 OPEN   kinsing          7237    /proc/7237/root/tmp/kdevtmpfsi 4026532306 dd603db3e2c0800d5eaa262b6b8553c68deaa486b545d4965df5dc43217cc839
15:37:35 MINER kinsing          7237    
15:37:35 MINER kinsing          7237    
15:37:35 MINER kinsing          7237    
15:37:35 MINER kinsing          7237    
15:37:35 MINER kdevtmpfsi       7571    
Error in Function GetCpuProcessTime: failed to open /proc/7571/statError in Function GetMemTotal: failed to open /proc/meminfo15:37:35 MINER kdevtmpfsi       7571    
Error in Function GetCpuProcessTime: failed to open /proc/7571/statError in Function GetMemTotal: failed to open /proc/meminfo15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
15:37:35 MINER kdevtmpfsi       7571    
Error in Function GetCpuProcessTime: failed to open /proc/7571/statError in Function GetMemTotal: failed to open /proc/meminfo15:37:35 MINER kdevtmpfsi       7572    
15:37:35 MINER kdevtmpfsi       7572    
15:37:35 MINER kdevtmpfsi       7572    
15:37:35 MINER kdevtmpfsi       7572    
15:37:35 CONN   kdevtmpfsi       7572              185.156.179.225 4026532306
15:37:35 MINER kdevtmpfsi       7572    
15:37:35 MINER kdevtmpfsi       7572    
15:37:35 MINER kdevtmpfsi       7572    
15:37:35 MINER kdevtmpfsi       7572    
15:37:35 MINER kdevtmpfsi       7572    
15:37:35 MINER kdevtmpfsi       7572    
15:37:35 MINER kdevtmpfsi       7572    
15:37:35 MINER kdevtmpfsi       7572    
15:37:35 MINER kdevtmpfsi       7572    
15:37:35 MINER kdevtmpfsi       7572    
15:37:35 MINER kdevtmpfsi       7572    
15:37:36 MINER kdevtmpfsi       7572    
15:37:36 MINER kdevtmpfsi       7572    
15:37:36 MINER kdevtmpfsi       7572    
15:37:37 MINER kinsing          7237    
15:37:37 MINER kinsing          7237    
15:37:37 CONN   kinsing          7237               185.154.53.140 4026532306
15:37:37 MINER kdevtmpfsi       7572    
15:37:37 MINER kdevtmpfsi       7572    
15:37:37 CLOCK  kdevtmpfsi       7572    400.000000% 12.606043%
15:37:37 MINER kdevtmpfsi       7572    
15:37:38 MINER kdevtmpfsi       7572    
15:37:38 MINER kdevtmpfsi       7572    
15:37:38 MINER kdevtmpfsi       7572    
15:37:39 MINER kdevtmpfsi       7572    
15:37:39 MINER kdevtmpfsi       7572    
15:37:39 MINER kdevtmpfsi       7572    
15:37:40 MINER kdevtmpfsi       7572    
15:37:40 MINER kdevtmpfsi       7572    
15:37:40 MINER kdevtmpfsi       7572    
15:37:41 MINER kdevtmpfsi       7572    
15:37:41 CLOCK  kdevtmpfsi       7572    200.000000% 39.599236%
15:37:41 MINER kdevtmpfsi       7572    
15:37:41 CLOCK  kdevtmpfsi       7572    400.000000% 39.625519%
15:37:41 MINER kdevtmpfsi       7572    
15:37:41 CLOCK  kdevtmpfsi       7572    200.000000% 39.645233%
15:37:42 MINER kdevtmpfsi       7572    
15:37:42 MINER kdevtmpfsi       7572    
15:37:42 MINER kdevtmpfsi       7572    
15:37:43 MINER kdevtmpfsi       7572    
15:37:43 MINER kdevtmpfsi       7572    
15:37:43 CLOCK  kdevtmpfsi       7572    200.000000% 53.220680%
15:37:43 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:44 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 CLOCK  kdevtmpfsi       7572    400.000000% 59.805901%
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 CLOCK  kdevtmpfsi       7572    400.000000% 59.805901%
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:45 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 CLOCK  kdevtmpfsi       7572    400.000000% 59.805901%
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 CLOCK  kdevtmpfsi       7572    800.000000% 59.805901%
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 CLOCK  kdevtmpfsi       7572    200.000000% 59.805901%
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 CLOCK  kdevtmpfsi       7572    400.000000% 59.805901%
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 CLOCK  kdevtmpfsi       7572    400.000000% 59.805901%
15:37:46 MINER kdevtmpfsi       7572    
15:37:46 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 CLOCK  kdevtmpfsi       7572    200.000000% 59.805901%
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 CLOCK  kdevtmpfsi       7572    400.000000% 59.805901%
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 MINER kdevtmpfsi       7572    
15:37:47 CLOCK  kdevtmpfsi       7572    200.000000% 59.805901%
15:37:47 MINER kdevtmpfsi       7572    
